id,name,url,category_breadcrumb,price_number,ratingAverage,discountPercentage,shop_id,shop_name,shop_city,shop_tier,bm25_score
100041744987,MKs •K• Free Box Kalung Cantik Titanium Permata model Unik Berlian Necklace Aksesoris Wanita Anti karat Perhiasan Hadiah,https://www.tokopedia.com/mks-jewelry/mks-k-free-box-kalung-cantik-titanium-permata-model-unik-berlian-necklace-aksesoris-wanita-anti-karat-perhiasan-hadiah-1729610929548657718?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D202601151428417A614FD06C3254096QL8%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,36200,5.0,0,7495712425623783478,MKs Jewelry,Kab. Tangerang,3,14.452417013536602
102142133262,Kalung Bandul Kupu-Kupu Butterfly Cantik 1170,https://www.tokopedia.com/indohappyshop-1/kalung-bandul-kupu-kupu-butterfly-cantik-1170-1729704390713182116?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D202601151428417A614FD06C3254096QL8%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,6970,4.7,0,15548558,Majestic Mall,Surabaya,1,3.8673487563209177
100456392745,Kalung Dan Gelang Wanita Cantik/Perhiasan Wanita Titanium/ Aksesoris Wanita,https://www.tokopedia.com/catherine-olshop/kalung-dan-gelang-wanita-cantik-perhiasan-wanita-titanium-aksesoris-wanita-1729570110902275031?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D202601151356586FAA8040DA20EF222S0Q%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,150000,4.4,0,7494810441427094487,Catherine Olshop,Tangerang,1,3.622782364951792
100198070024,Perhiasan Wanita Kalung Titanium Motif Love Permata Cantik Terbaru,https://www.tokopedia.com/abuyyy06/perhiasan-wanita-kalung-titanium-motif-love-permata-cantik-terbaru-1730676887755982261?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D20260115143426577BCC914F9E553BAY8T%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,26000,4.7,0,7495893114818169269,abuyyy06,Jakarta Utara,3,3.622782364951792
100270337391,Perhiasan Set 2in1 Kalung Pesta Model Simple Elegant Cantik Aksesoris,https://www.tokopedia.com/vimel-vn/perhiasan-set-2in1-kalung-pesta-model-simple-elegant-cantik-aksesoris-1730162661986894885?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D202601151334537A614FD06C32542C7NT2%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,95000,5.0,0,2653097,VIMEL-VN,Jakarta Pusat,3,3.548081708545312
100290239782,Kimberly Necklace | Kalung rantai korea cantik aksesoris wanita trendy stylish,https://www.tokopedia.com/ceriseacc/kimberly-necklace-kalung-rantai-korea-cantik-aksesoris-wanita-trendy-stylish-1729443686998640749?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D202601151356586FAA8040DA20EF222S0Q%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,41860,4.9,0,10457786,Cerise Accessories,Jakarta Utara,1,3.548081708545312
100425619115,HAYYU NEW Kalung wanita aksesoris cantik titanium korean style JW-1021,https://www.tokopedia.com/hayyu-co/hayyu-new-kalung-wanita-aksesoris-cantik-titanium-korean-style-jw-1021-1731126500459841513?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D2026011514582320F07591C6FCB23167TC%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,16099,4.5,0,7495975596285070313,HAYYU CO,Jakarta Utara,3,3.4764390495275923
100113199968,Tura Padi  Super Mewah Cantik Pisan Aksesoris Tercantik,https://www.tokopedia.com/rini-aksesoris/tura-padi-super-mewah-cantik-pisan-aksesoris-tercantik-1729432045181962912?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D20260115132903CAF1A3DFB505FF00967K%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,180000,4.6,0,7494503265952762528,Rini Aksesoris_NEW,Kab. Deli Serdang,1,3.476379036029394
102117217150,Kalung Titanium Anti Karat Wanita Model Hati Cantik Elegan Kekinian Kalung Love Stainless Steel,https://www.tokopedia.com/diamorajewelry/kalung-titanium-anti-karat-wanita-model-hati-cantik-elegan-kekinian-kalung-love-stainless-steel-1732245665696548390?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D2026011514582320F07591C6FCB23167TC%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,21056,4.8,0,7494094091810866726,DiamoraJewelry,Jakarta Utara,3,3.358723033213356
100080947874,kalung Titanium melintir plus Liontin bola cantik terbaru anti karat dan tidak luntur,https://www.tokopedia.com/jaya-jewellry/kalung-titanium-melintir-plus-liontin-bola-cantik-terbaru-anti-karat-dan-tidak-luntur-1729711742157883027?extParam=ivf%3Dfalse%26keyword%3Daksesori+wanita%26search_id%3D20260115140403577BCC914F9E5524A1LK%26src%3Dsearch,fashion-wanita/perhiasan-wanita/kalung-wanita,12000,4.6,0,7495832719187282579,jaya jewellry,Jakarta Utara,3,3.34159960671482
