id;url;name;price;imageUrl;isTopads;countReview;ratingAverage;discountPercentage;categoryBreadcrumbs;labelGroup;countSold;shop.id;shop.url;shop.city;shop.name;freeOngkir.isActive;freeOngkir.imageUrl;freeOngkir.__typename;dynamicTracker.tiktokec_button_click.actionsheet_name;dynamicTracker.tiktokec_button_click.card_name;dynamicTracker.tiktokec_button_click.product_id;dynamicTracker.tiktokec_button_click.rec_params;dynamicTracker.tiktokec_button_click.request_id;dynamicTracker.tiktokec_button_click.source_module;dynamicTracker.tiktokec_button_click.tts_product_id;dynamicTracker.tiktokec_button_click.tts_seller_id;dynamicTracker.tiktokec_button_click.tts_sku_id;dynamicTracker.tiktokec_button_show.actionsheet_name;dynamicTracker.tiktokec_button_show.card_name;dynamicTracker.tiktokec_button_show.product_id;dynamicTracker.tiktokec_button_show.rec_params;dynamicTracker.tiktokec_button_show.request_id;dynamicTracker.tiktokec_button_show.source_module;dynamicTracker.tiktokec_button_show.tts_product_id;dynamicTracker.tiktokec_button_show.tts_seller_id;dynamicTracker.tiktokec_button_show.tts_sku_id;dynamicTracker.tiktokec_card_click.is_ad;dynamicTracker.tiktokec_card_click.tts_product_id;dynamicTracker.tiktokec_card_click.tts_seller_id;dynamicTracker.tiktokec_card_click.tts_sku_id;dynamicTracker.tiktokec_card_show.is_ad;dynamicTracker.tiktokec_card_show.tts_product_id;dynamicTracker.tiktokec_card_show.tts_seller_id;dynamicTracker.tiktokec_card_show.tts_sku_id;dynamicTracker.tiktokec_product_click.is_ad;dynamicTracker.tiktokec_product_click.tts_product_id;dynamicTracker.tiktokec_product_click.tts_seller_id;dynamicTracker.tiktokec_product_click.tts_sku_id;dynamicTracker.tiktokec_product_show.is_ad;dynamicTracker.tiktokec_product_show.tts_product_id;dynamicTracker.tiktokec_product_show.tts_seller_id;dynamicTracker.tiktokec_product_show.tts_sku_id;dynamicTracker.track_id
12828208285;https://www.tokopedia.com/nvidiageforcelt/lenovo-loq-15-geforce-rtx-5050-i5-13450hx-ram-12gb-512gb-ssd-100srgb-1731191436843582883;LENOVO LOQ 15 GeForce RTX 5050 - i5 13450HX RAM 12GB 512GB SSD 100SRGB;Rp16.498.000;https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/163af70d9ac4436ea5a5a0380e1c3ca7~.jpeg;FALSE;118;4.9;0;Komputer & Laptop/PC & Laptop Gaming/Laptop Gaming;"[{""url"": ""https://images.tokopedia.net/img/phOWBv/2025/9/23/bad6e661-18e7-4fc5-87f9-c86915c7ee4b.png"", ""type"": """", ""title"": ""Harga Terbaik"", ""position"": ""campaign"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""100+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""Flash Sale"", ""position"": ""assigned_value"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""37%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16519588591;https://www.tokopedia.com/supergadget-729/apple-iphone-16-iphone-16-plus-garansi-resmi-ibox-indonesia-1731086781818373719;Apple Iphone 16 | Iphone 16 Plus Garansi Resmi IBox Indonesia;Rp13.999.000;https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/892cfe9459d547e2ac781562abf21037~.jpeg;FALSE;41;4.9;0;Handphone & Tablet/Handphone/iOS;"[{""url"": ""https://images.tokopedia.net/img/phOWBv/2025/9/23/bad6e661-18e7-4fc5-87f9-c86915c7ee4b.png"", ""type"": """", ""title"": ""Harga Terbaik"", ""position"": ""campaign"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""100+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""Thematic"", ""position"": ""assigned_value"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""26%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2699989291;https://www.tokopedia.com/wingsofficial/sosoft-deterjen-cair-rose-waterlily-botol-700-ml-x-3pcs;Sosoft Deterjen Cair Rose Waterlily Botol 700 ml x 3pcs;Rp46.200;https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/6/c084b697-220a-45ee-af0b-851526dfe0cf.png;FALSE;10466;5.0;0;Kesehatan/Perlengkapan Kebersihan/Deterjen Laundry;"[{""url"": ""https://images.tokopedia.net/img/phOWBv/2023/12/8/1a976501-81ee-4705-bea8-28ca5c54e8d6.png"", ""type"": """", ""title"": ""Beli Lokal"", ""position"": ""campaign"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""10rb+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""42%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,0026E+11;https://www.tokopedia.com/lahome-official-store/lahome-mesin-kopi-espresso-5-in-1-otomatis-panel-sentuh-lcd-dengan-pembuih-susu-20-bar-full-digital-1729991571565937694;LAHOME Mesin Kopi Espresso 5 in 1 Otomatis Panel Sentuh LCD Dengan Pembuih Susu 20 Bar Full Digital;Rp1.228.000;https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/2be20d6e6fdf4d1cb7bd81db32831bfa~.jpeg;FALSE;302;5.0;0;Dapur/Alat Masak Khusus/Coffee & Tea Maker;"[{""url"": ""https://images.tokopedia.net/img/phOWBv/2025/9/23/bad6e661-18e7-4fc5-87f9-c86915c7ee4b.png"", ""type"": """", ""title"": ""Harga Terbaik"", ""position"": ""campaign"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""500+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""53%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14203575105;https://www.tokopedia.com/solusi-indonesia/alat-latihan-otot-paha-pelvic-floor-muscle-trainer-adjustable-v71;Alat Latihan Otot Paha Pelvic Floor Muscle Trainer Adjustable - V71;Rp82.100;https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/7/4/da7611e8-9eda-4abb-8ae1-0a77314d7750.jpg;FALSE;156;4.9;0;Olahraga/Gym & Fitness/Pemberat Kaki;"[{""url"": """", ""type"": """", ""title"": ""250+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13143260375;https://www.tokopedia.com/itel-authorized-shop/itel-official-smart-watch-isw-o11-3-tahan-air-spo2-telepon-bluetooth-o11-hitam-66a51;Itel Official Smart Watch ISW-O11 3 Tahan Air SPO2 Telepon Bluetooth;Rp189.000;https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/4/5/1a250ed0-0560-4bc6-b384-e5015cf5e24a.jpg;FALSE;2455;4.9;0;Handphone & Tablet/Wearable Devices/Smart Watch;"[{""url"": """", ""type"": """", ""title"": ""4rb+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""37%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12168346812;https://www.tokopedia.com/delitoolsofficial/deli-tool-box-kuat-kotak-perkakas-ukuran-kecil-sedang-besar-dl43291x-12inch-5ba8c;Deli Tool Box Kuat / Kotak Perkakas Ukuran Kecil Sedang Besar DL43291X;Rp52.800;https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/1/5ec595c6-9516-4a4d-9912-a2af220c4944.jpg;FALSE;892;4.9;0;Pertukangan/Hand Tools/Tool Kit Set;"[{""url"": """", ""type"": """", ""title"": ""1rb+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""48%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13851004068;https://www.tokopedia.com/goojodoq-shop/goojodoq-high-speed-turbo-kipas-angin-minifan-portable-handheld-kipas-brushless-strong-wind-digital-display-kipas-gun-color-3542d;GOOJODOQ High Speed Turbo kipas angin Minifan Portable Handheld Kipas Brushless Strong Wind Digital Display Kipas;Rp235.999;https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/13/d107d2d4-1575-4061-87a6-51725afb3228.jpg;FALSE;1412;4.9;0;Elektronik/Alat Pendingin Ruangan/Kipas Angin Listrik;"[{""url"": ""https://images.tokopedia.net/img/phOWBv/2025/9/23/bad6e661-18e7-4fc5-87f9-c86915c7ee4b.png"", ""type"": """", ""title"": ""Harga Terbaik"", ""position"": ""campaign"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""4rb+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": """", ""title"": ""Flash Sale"", ""position"": ""assigned_value"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""32%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,00555E+11;https://www.tokopedia.com/myfon-teleshop/realme-gt-7-gt-7t-12-256gb-garansi-resmi-realme-indonesia-1731562019313911429;Realme GT 7 GT 7T 12/256GB Garansi Resmi Realme Indonesia;Rp5.825.000;https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/71b920519d084e4fba90b19be22eaa95~.jpeg;FALSE;148;5.0;0;Handphone & Tablet/Handphone/Android OS;"[{""url"": """", ""type"": """", ""title"": ""250+ terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""27%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16229135209;https://www.tokopedia.com/aerosupplyid/winwing-mcdu-airbus-series-1730854434749515621;Winwing MCDU Airbus Series;Rp3.893.100;https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/b439dc08f4bf49f88c48b075592e1fed~.jpeg;FALSE;5;5.0;0;Gaming/Game Console/PlayStation;"[{""url"": """", ""type"": """", ""title"": ""11 terjual"", ""position"": ""ri_product_credibility"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}, {""url"": """", ""type"": ""red"", ""title"": ""5%"", ""position"": ""ri_ribbon"", ""styles"": [], ""__typename"": ""HomeLabelGroupData""}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
