id,name,url,category_breadcrumb,price_number,discountPercentage,ratingAverage,shop_id,shop_name,shop_city,shop_tier,countSold,name_clean,has_promo,umkm_label,bm25_score,popularity_raw,value_score,base_score,final_score
100104066565,HEELSADDICT Meera - Canvas Sling Bag Tas Wanita Kulit Kanvas,https://www.tokopedia.com/heelsaddict/heelsaddict-meera-canvas-sling-bag-tas-wanita-kulit-kanvas-1729473674219326340?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011517034211B9842E0A271F3E56SD%26src%3Dsearch,fashion-wanita/tas-wanita/hand-bag-wanita,67000,67,4.9,7494083370190473092,Heelsaddict_NEW,Kab. Bekasi,2,10000,heelsaddict meera canvas sling bag tas wanita kulit kanvas,True,UMKM,36.03870344567454,7.68189291211251,0.9170344827586208,0.8765671774629449,0.9642238952092395
100076629969,Tas wanita Kulit Lulu bag tas selempang wanita terbaru sling bag fashion,https://www.tokopedia.com/lalastore1/tas-wanita-kulit-lulu-bag-tas-selempang-wanita-terbaru-sling-bag-fashion-1729571781539562808?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D20260115164432577BCC914F9E550F5WYP%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,52999,52,4.7,7494794228588316984,LALASTORE1,Jakarta Pusat,3,9000,tas wanita kulit lulu bag tas selempang wanita terbaru sling bag fashion,True,UMKM,35.387922358456706,7.834890234110209,0.8373103448275863,0.8462523461157447,0.9308775807273193
100118091412,LIGHT GWIN TAS WANITA KULIT PREMIUM SIZE 20cm Selempang -Tas selempang wanita kulit_Tas sling bag wanita_Tas shoulder bag wanita kekinian_tas  modern_Tas fashion wanita,https://www.tokopedia.com/light-gwin-original/light-gwin-tas-wanita-kulit-premium-size-20cm-selempang-tas-selempang-wanita-kulit-tas-sling-bag-wanita-tas-shoulder-bag-wanita-kekinian-tas-modern-tas-fashion-wanita-1730718326178809672?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D20260115153556819F46E52C25762A8JTK%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,70000,65,4.8,7494672769747094344,Light Gwin Original,Kab. Pemalang,1,10000,light gwin tas wanita kulit premium size 20cm selempang tas selempang wanita kulit tas sling bag wanita tas shoulder bag wanita kekinian tas modern tas fashion wanita,True,UMKM,33.85120472240943,8.304669816625601,0.8961379310344827,0.8378232561429626,0.9216055817572589
100096225335,Tas Luna Jinjing Tas Wanita kulit asli selempang,https://www.tokopedia.com/siska-crocodile/tas-luna-jinjing-tas-wanita-kulit-asli-selempang-1729430245549836312?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011516511637BC2F75BF1BCF10AFQO%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,1650000,0,4.8,7494536484894836760,Siska Crocodile,Tangerang,1,50,tas luna jinjing tas wanita kulit asli selempang,False,UMKM,38.71146721993235,3.5152440827930613,0.6719999999999999,0.8128305138760132,0.8941135652636146
100093730323,Tas 2025 Tas Ember Baru Tas Selempang Ibu Tas Wanita Kulit Asli Tas 【Berikan  (Tiga tali bahu.)】,https://www.tokopedia.com/baokei/tas-2025-tas-ember-baru-tas-selempang-ibu-tas-wanita-kulit-asli-tas-berikan-tiga-tali-bahu-1729653042578163469?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D20260115164432577BCC914F9E550F5WYP%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,168000,63,4.8,7495783093937867533,Baokei,Kab. Tangerang,1,2000,tas 2025 tas ember baru tas selempang ibu tas wanita kulit asli tas berikan tiga tali bahu,True,UMKM,33.22726138930338,6.485715142899207,0.8892413793103447,0.8010753641894983,0.8811829006084482
12630832109,Tas Selempang Wanita Kulit BAELLERRY N5018,https://www.tokopedia.com/baellerryofficialshop/tas-selempang-wanita-kulit-baellerry-n5018-yellow-65d6e?extParam=ivf%3Dtrue%26keyword%3Douter+wanita%26search_id%3D20260114114745B3967A0E938DC21F58R6%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,92740,60,4.8,16995167,Baellerry ID,Jakarta Barat,2,10000,tas selempang wanita kulit baellerry n5018,True,UMKM,26.08826956845052,7.334979651005526,0.8788965517241378,0.6740064988268757,0.7414071487095634
12610190507,Dompet Pendek Wanita Kulit BAELLERRY N1896,https://www.tokopedia.com/baellerryofficialshop/dompet-pendek-wanita-kulit-baellerry-n1896-black-7128b?extParam=ivf%3Dtrue%26keyword%3Douter+wanita%26search_id%3D20260114114745B3967A0E938DC21F58R6%26src%3Dsearch,fashion-wanita/tas-wanita/dompet-wanita,83395,60,4.9,16995167,Baellerry ID,Jakarta Barat,2,10000,dompet pendek wanita kulit baellerry n1896,True,UMKM,24.57898922768694,7.805101614788072,0.892896551724138,0.6548949291807921,0.7203844220988713
100124635258,Tas Bahu Wanita Kulit Hitam Elegan Selempang Model Terbaru 2025,https://www.tokopedia.com/btso-collection/tas-bahu-wanita-kulit-hitam-elegan-selempang-model-terbaru-2025-1730765215794431718?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D20260115150458577BCC914F9E550DFD1E%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,65900,45,4.7,7495607921352477414,Btso collection,Bandung,3,10000,tas bahu wanita kulit hitam elegan selempang model terbaru 2025,True,UMKM,24.564570164930224,8.492575010352068,0.8131724137931035,0.643458060459706,0.7078038665056766
12607374356,Dompet Pendek Wanita Kulit PU BAELLERRY N8325,https://www.tokopedia.com/baellerryofficialshop/dompet-pendek-wanita-kulit-pu-baellerry-n8325-black-d0b81?extParam=ivf%3Dtrue%26keyword%3Douter+wanita%26search_id%3D20260114114745B3967A0E938DC21F58R6%26src%3Dsearch,fashion-wanita/tas-wanita/dompet-wanita,69900,60,4.9,16995167,Baellerry ID,Jakarta Barat,2,9000,dompet pendek wanita kulit pu baellerry n8325,True,UMKM,24.002897021982633,7.636543378175947,0.892896551724138,0.6418259426111502,0.7060085368722653
100285634404,Berrybenka - Tas Bahu Tekka Yora Shoulder Bag Tas Selempang Wanita Kulit Slingbag,https://www.tokopedia.com/berrybenka/berrybenka-tas-bahu-tekka-yora-shoulder-bag-tas-selempang-wanita-kulit-slingbag-1729860828322695892?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011515552794F6D7E04A4D45360V6Z%26src%3Dsearch,fashion-wanita/tas-wanita/shoulder-bag-wanita,47500,76,4.8,5537315,Berrybenka,Kab. Tangerang,2,10000,berrybenka tas bahu tekka yora shoulder bag tas selempang wanita kulit slingbag,True,UMKM,23.22118309660837,7.76711174853779,0.9340689655172414,0.6389674891089825,0.7028642380198808
