lambda,K,Precision,Recall,NDCG,Fairness,ExposureDisparity
0.1,10,1.0,0.023339381381632805,0.9910934199631001,0.8166666666666668,0.19374729900800583
0.1,20,0.9916666666666667,0.046304230928059624,0.9899382428803474,0.8250000000000001,0.10598471723611018
0.1,30,0.9611111111111111,0.06574740343409628,0.9907838103880241,0.8222222222222223,0.09765405353905987
0.1,40,0.9416666666666668,0.08069349944402644,0.9912130538145681,0.7999999999999999,0.09733791342101365
0.1,50,0.93,0.09646410438613671,0.989564595090702,0.7733333333333333,0.07994509568113306
